,All_values,Return_to_pred
1031,0011001101001,1.0
1032,0101010011010,2.0
1033,0111010100110,2.0
1034,1001010101001,2.0
1035,0001010101010,2.0
1036,0011010101010,2.0
1037,0101010101010,1.0
1038,0111010101010,2.0
1039,1001010101010,2.0
1040,0001010101010,2.0
1041,0011010101010,2.0
1042,0101010101010,2.0
1043,0111010101010,3.0
1044,1000110101010,2.0
1045,0000101101010,2.0
1046,0011001011010,2.0
1047,0101010010110,3.0
1048,0111010100101,2.0
1049,1001010101001,2.0
1050,0001010101010,3.0
1051,0010110101010,3.0
1052,0101001101010,2.0
1053,0111010011010,2.0
1054,1001010100110,2.0
1055,0001010101001,2.0
1056,0010110101010,2.0
1057,0101001101010,3.0
1058,0111010011010,2.0
1059,1000110100110,1.0
1060,0001001101001,3.0
1061,0011010011010,2.0
1062,0101010100110,2.0
1063,0110110101001,3.0
1064,0001001101010,2.0
1065,0011010011010,3.0
1066,0101010100110,2.0
1067,0111010101001,2.0
1068,1001010101010,2.0
1069,0001010101010,3.0
1070,0011010101010,3.0
1071,0101010101010,1.0
1072,0111010101010,0.0
1073,1001010101010,2.0
1074,0001010101010,2.0
1075,0010110101010,2.0
1076,0100101101010,3.0
1077,0110101011010,3.0
1078,1000101010110,2.0
1079,0001001010101,1.0
1080,0011010010101,1.0
1081,0101010100101,3.0
1082,0111010101001,1.0
1083,1001010101010,1.0
1084,0001010101010,2.0
1085,0011010101010,0.0
1086,0101010101010,0.0
1087,0111010101010,3.0
1088,1001010101010,4.0
1089,0001010101010,1.0
1090,0010110101010,2.0
1091,0101001101010,2.0
1092,0111010011010,2.0
1093,1001010100110,2.0
1094,0001010101001,1.0
1095,0010110101010,2.0
1096,0101001101010,3.0
1097,0111010011010,0.0
1098,1001010100110,2.0
1099,0001010101001,2.0
1100,0011010101010,2.0
1101,0100110101010,2.0
1102,0111001101010,2.0
1103,1001010011010,1.0
1104,0011010100110,2.0
1105,0101010101001,3.0
1106,0111010101010,1.0
1107,1000110101010,1.0
1108,0001001101010,2.0
1109,0011010011010,2.0
1110,0101010100110,2.0
1111,0111010101001,3.0
1112,1001010101010,3.0
1113,0001010101010,2.0
1114,0010110101010,2.0
1115,0100101101010,2.0
1116,0111001011010,2.0
1117,1001010010110,1.0
1118,0001010100101,2.0
1119,0011010101001,2.0
1120,0100110101010,1.0
1121,0110101101010,2.0
1122,1001001011010,3.0
1123,0001010010110,0.0
1124,0011010100101,2.0
1125,0101010101001,0.0
1126,0111010101010,2.0
1127,1001010101010,1.0
1128,0011010101010,4.0
1129,0101010101010,0.0
1130,0110110101010,2.0
1131,1001001101010,1.0
1132,0001010011010,4.0
1133,0011010100110,1.0
1134,0100110101001,3.0
1135,0110101101010,1.0
1136,1001001011010,2.0
1137,0001010010110,2.0
1138,0011010100101,2.0
1139,0101010101001,3.0
1140,0111010101010,3.0
1141,1001010101010,3.0
1142,0000110101010,2.0
1143,0011001101010,3.0
1144,0101010011010,2.0
1145,0111010100110,2.0
1146,1001010101001,2.0
1147,0001010101010,2.0
1148,0011010101010,2.0
