,All_values,Return_to_pred
1990,0100101101010,3.0
1991,1000101011010,0.0
1992,0000101010110,4.0
1993,0011001010101,3.0
1994,0100110010101,4.0
1995,0110101100101,4.0
1996,1000101011001,4.0
1997,0000101010110,0.0
1998,0010101010101,4.0
1999,0101001010101,0.0
2000,0110110010101,3.0
2001,1001001100101,0.0
2002,0000110011001,4.0
2003,0011001100110,4.0
2004,0100110011001,2.0
2005,0110101100110,2.0
2006,1001001011001,1.0
2007,0001010010110,1.0
2008,0011010100101,4.0
2009,0101010101001,1.0
2010,1000110101010,2.0
2011,0001001101010,3.0
2012,0010110011010,3.0
2013,0100101100110,4.0
2014,1000101011001,2.0
2015,0000101010110,4.0
2016,0011001010101,2.0
2017,0100110010101,4.0
2018,0110101100101,0.0
2019,1000101011001,0.0
2020,0001001010110,0.0
2021,0011010010101,0.0
2022,0101010100101,3.0
2023,0111010101001,4.0
2024,1000110101010,0.0
2025,0010101101010,1.0
2026,0101001011010,3.0
2027,0111010010110,3.0
2028,1000110100101,1.0
2029,0000101101001,0.0
2030,0011001011010,4.0
2031,0101010010110,0.0
2032,0110110100101,0.0
2033,1001001101001,2.0
2034,0001010011010,2.0
2035,0010110100110,0.0
2036,0101001101001,0.0
2037,0111010011010,4.0
2038,1001010100110,1.0
2039,0000110101001,0.0
2040,0011001101010,0.0
2041,0101010011010,4.0
2042,0111010100110,2.0
2043,1000110101001,0.0
2044,0010101101010,0.0
2045,0100101011010,0.0
2046,0111001010110,0.0
2047,1001010010101,4.0
2048,0001010100101,4.0
2049,0010110101001,0.0
2050,0100101101010,1.0
2051,0111001011010,0.0
2052,1001010010110,0.0
2053,0001010100101,0.0
2054,0011010101001,4.0
2055,0101010101010,0.0
2056,0111010101010,4.0
2057,1001010101010,0.0
2058,0000110101010,4.0
2059,0011001101010,4.0
2060,0100110011010,4.0
2061,0110101100110,4.0
2062,1000101011001,0.0
2063,0000101010110,4.0
2064,0011001010101,4.0
2065,0100110010101,0.0
2066,0110101100101,0.0
2067,1001001011001,4.0
2068,0001010010110,0.0
2069,0010110100101,2.0
2070,0101001101001,4.0
2071,0111010011010,0.0
2072,1000110100110,0.0
2073,0000101101001,4.0
2074,0011001011010,3.0
2075,0100110010110,4.0
2076,0110101100101,4.0
2077,1000101011001,4.0
2078,0000101010110,0.0
2079,0010101010101,3.0
2080,0100101010101,4.0
2081,0111001010101,4.0
2082,0000110010101,0.0
2083,0010101100101,4.0
2084,0101001011001,3.0
2085,0110110010110,4.0
2086,1001001100101,0.0
2087,0000110011001,4.0
2088,0011001100110,4.0
2089,0100110011001,4.0
2090,0110101100110,2.0
2091,1000101011001,0.0
2092,0000101010110,0.0
2093,0011001010101,4.0
2094,0100110010101,0.0
2095,0110101100101,4.0
2096,1001001011001,4.0
2097,0000110010110,4.0
2098,0010101100101,3.0
2099,0100101011001,0.0
2100,0111001010110,0.0
2101,1001010010101,3.0
2102,0001010100101,0.0
2103,0010110101001,0.0
2104,0101001101010,4.0
2105,0111010011010,0.0
2106,1000110100110,4.0
2107,0001001101001,1.0
2108,0010110011010,0.0
2109,0101001100110,2.0
2110,0111010011001,0.0
2111,1000110100110,2.0
2112,0011001101001,0.0
2113,0100110011010,1.0
2114,0111001100110,2.0
2115,1001010011001,4.0
2116,0000110100110,4.0
2117,0010101101001,0.0
2118,0100101011010,0.0
2119,0111001010110,3.0
2120,1001010010101,0.0
2121,0000110100101,2.0
2122,0011001101001,0.0
2123,0100110011010,3.0
2124,0111001100110,3.0
2125,1000110011001,0.0
2126,0000101100110,3.0
2127,0010101011001,3.0
2128,0100101010110,1.0
2129,0110101010101,1.0
2130,1001001010101,0.0
2131,0001010010101,0.0
2132,0011010100101,2.0
2133,0101010101001,4.0
2134,0111010101010,2.0
2135,1000110101010,0.0
2136,0001001101010,4.0
2137,0011010011010,2.0
2138,0100110100110,3.0
2139,0110101101001,0.0
2140,0000101011010,0.0
2141,0010101010110,0.0
2142,0101001010101,2.0
2143,0111010010101,0.0
2144,1000110100101,3.0
2145,0001001101001,0.0
2146,0010110011010,3.0
2147,0101001100110,2.0
2148,0110110011001,1.0
2149,1001001100110,4.0
2150,0001010011001,1.0
2151,0010110100110,1.0
2152,0101001101001,4.0
2153,0110110011010,4.0
2154,1000101100110,2.0
2155,0000101011001,4.0
2156,0011001010110,4.0
2157,0100110010101,2.0
2158,0110101100101,0.0
2159,1001001011001,0.0
2160,0001010010110,4.0
2161,0011010100101,4.0
2162,0100110101001,0.0
2163,0110101101010,4.0
2164,1001001011010,0.0
2165,0000110010110,0.0
2166,0011001100101,4.0
2167,0101010011001,3.0
2168,0110110100110,1.0
2169,1000101101001,0.0
2170,0001001011010,2.0
2171,0010110010110,1.0
2172,0100101100101,4.0
2173,0110101011001,4.0
2174,1000101010110,3.0
2175,0000101010101,4.0
2176,0010101010101,4.0
2177,0100101010101,1.0
2178,0110101010101,1.0
2179,1001001010101,0.0
2180,0001010010101,0.0
2181,0011010100101,4.0
2182,0101010101001,4.0
2183,0110110101010,4.0
2184,1000101101010,3.0
2185,0010101011010,4.0
2186,0100101010110,4.0
2187,0110101010101,2.0
2188,1000101010101,3.0
2189,0001001010101,4.0
2190,0010110010101,2.0
2191,0100101100101,4.0
2192,0111001011001,1.0
2193,1000110010110,4.0
2194,0001001100101,0.0
2195,0010110011001,0.0
2196,0101001100110,4.0
2197,0111010011001,3.0
2198,1000110100110,2.0
2199,0001001101001,1.0
2200,0011010011010,0.0
2201,0101010100110,0.0
2202,0111010101001,3.0
2203,1001010101010,2.0
2204,0000110101010,2.0
2205,0011001101010,1.0
2206,0100110011010,3.0
2207,0111001100110,3.0
2208,1000110011001,2.0
2209,0000101100110,1.0
2210,0010101011001,2.0
2211,0101001010110,2.0
2212,0111010010101,0.0
2213,1000110100101,1.0
2214,0001001101001,4.0
2215,0011010011010,0.0
2216,0100110100110,2.0
